Дата публикации,Автор,Текст отзыва,Оценка,Количество фотографий,Наличие видео,Теги
"2025-11-13 14:00:22","Недостатки:Горит только один цвет , зелёный","Недостатки:Горит только один цвет , зелёный Комментарий:Разочаровало ...",5,0,Нет,""
"2025-11-13 14:00:23","Минусы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:23","Ответ продавца","Здравствуйте,свяжитесь с нами в чате с продавцом и мы постараемся разрешить проблему.Если вы осуществляете вход в личный кабинет с компьютера, раздел Профиль > Покупки > наведите мышку на товар, снизу появиться всплывающая строка """"Чат с продавцом"""". Если вы осуществляете вход с мобильного телефона Профиль > Покупки > нажать три точки на купленном товаре, выбрать раздел """"Написать продавцу"""". Благодарим за обращение. ещё",5,0,Нет,""
"2025-11-13 14:00:23","Ответ продавца","Здравствуйте,свяжитесь с нами в чате с продавцом и мы постараемся разрешить проблему.Если вы осуществляете вход в личный кабинет с компьютера, раздел Профиль > Покупки > наведите мышку на товар, снизу появиться всплывающая строка """"Чат с продавцом"""". Если вы осуществляете вход с мобильного телефона Профиль > Покупки > нажать три точки на купленном товаре, выбрать раздел """"Написать продавцу"""". Благодарим за обращение. ещё",5,0,Нет,""
"2025-11-13 14:00:23","Покупатель Wildberries","Выкупили",5,1,Нет,""
"2025-11-13 14:00:24","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:24","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:24","Покупатель Wildberries","Выкупили",5,0,Нет,""
"2025-11-13 14:00:24","Покупатель Wildberries","Выкупили",5,0,Нет,""
"2025-11-13 14:00:25","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:25","Сегодня, 12:53","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:25","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:25","Сегодня, 12:53","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:26","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:26","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:26","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:26","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:27","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:27","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:27","Иван","Выкупили",5,1,Нет,""
"2025-11-13 14:00:27","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:28","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:28","Иван","Выкупили",5,0,Нет,""
"2025-11-13 14:00:28","Иван","Выкупили",5,0,Нет,""
"2025-11-13 14:00:28","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:29","Сегодня, 12:42","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:29","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:29","Сегодня, 12:42","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:30","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:30","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:30","Плюсы товара","Достоинства:Классная штука,брали ребёнку,но и сами подзалипли🤣",5,0,Нет,""
"2025-11-13 14:00:30","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:31","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:31","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:31","Майя","Выкупили",5,1,Нет,""
"2025-11-13 14:00:31","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:31","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:32","Майя","Выкупили",5,0,Нет,""
"2025-11-13 14:00:32","Майя","Выкупили",5,0,Нет,""
"2025-11-13 14:00:32","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:32","Сегодня, 12:36","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:33","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:33","Сегодня, 12:36","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:33","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:33","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:34","Анонимный покупатель","Достоинства:Чудесная игрушка, очень понравилась. Сделана очень аккуратно.",5,0,Нет,""
"2025-11-13 14:00:34","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:34","Ответ продавца","Здравствуйте !Спасибо большое за ваш отзыв и высокую оценку! Нам очень приятно, что товар вам понравился. Мы стараемся поддерживать высокое качество и сервис, чтобы каждый покупатель оставался доволен. Будем рады видеть вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:34","Егор","Выкупили",5,1,Нет,""
"2025-11-13 14:00:35","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:35","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:35","Егор","Выкупили",5,0,Нет,""
"2025-11-13 14:00:35","Егор","Выкупили",5,0,Нет,""
"2025-11-13 14:00:36","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:36","Сегодня, 12:09","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:36","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:36","Сегодня, 12:09","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:37","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:37","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:37","Недостатки:- нету одни +","Достоинства:Просто класс 👍👍 Заказ пришол быстро , сразу же в этот день когда заказывал Недостатки:- нету одни + Комментарий:Пришло все целое и рабочее , даже положили 2 батарейки",5,2,Нет,""
"2025-11-13 14:00:37","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:38","Ответ продавца","Спасибо за отзыв, Егор! Мы рады, что вам понравился наш ночник звездное небо проектор. Надеемся, что он будет радовать вас и вашего ребенка. Будем рады видеть вас снова в нашем магазине. ещё",5,0,Нет,""
"2025-11-13 14:00:38","Ответ продавца","Спасибо за отзыв, Егор! Мы рады, что вам понравился наш ночник звездное небо проектор. Надеемся, что он будет радовать вас и вашего ребенка. Будем рады видеть вас снова в нашем магазине. ещё",5,0,Нет,""
"2025-11-13 14:00:38","Сана","Выкупили",5,1,Нет,""
"2025-11-13 14:00:38","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:39","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:39","Сана","Выкупили",5,0,Нет,""
"2025-11-13 14:00:39","Сана","Выкупили",5,0,Нет,""
"2025-11-13 14:00:39","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:39","Сегодня, 12:00","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:40","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:40","Сегодня, 12:00","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:40","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:40","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:41","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:41","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:41","Ответ продавца","Спасибо большое за ваш отзыв! Мы очень рады, что вам понравился наш ночник звездное небо проектор космонавт. Пусть он создает уютную атмосферу и наполняет вашу комнату магией звездного неба. Желаем вам уютных и теплых вечеров в компании этого замечательного подарка! ещё",5,0,Нет,""
"2025-11-13 14:00:41","Ответ продавца","Спасибо большое за ваш отзыв! Мы очень рады, что вам понравился наш ночник звездное небо проектор космонавт. Пусть он создает уютную атмосферу и наполняет вашу комнату магией звездного неба. Желаем вам уютных и теплых вечеров в компании этого замечательного подарка! ещё",5,0,Нет,""
"2025-11-13 14:00:42","Екатерина","Выкупили",5,1,Нет,""
"2025-11-13 14:00:42","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:42","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:42","Екатерина","Выкупили",5,0,Нет,""
"2025-11-13 14:00:42","Екатерина","Выкупили",5,0,Нет,""
"2025-11-13 14:00:43","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:43","Сегодня, 11:44","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:43","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:43","Сегодня, 11:44","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:44","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:44","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:44","Классный","Классный",5,0,Нет,""
"2025-11-13 14:00:44","Ответ продавца","Здравствуйте, Екатерина! Спасибо большое за положительный отзыв о нашем ночнике звездного неба проекторе космонавте! Мы очень рады, что вам понравился товар. Приятных вам снов и звездных ночей! ещё",5,0,Нет,""
"2025-11-13 14:00:44","Ответ продавца","Здравствуйте, Екатерина! Спасибо большое за положительный отзыв о нашем ночнике звездного неба проекторе космонавте! Мы очень рады, что вам понравился товар. Приятных вам снов и звездных ночей! ещё",5,0,Нет,""
"2025-11-13 14:00:45","Diana","Выкупили",5,1,Нет,""
"2025-11-13 14:00:45","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:45","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:45","Diana","Выкупили",5,0,Нет,""
"2025-11-13 14:00:46","Diana","Выкупили",5,0,Нет,""
"2025-11-13 14:00:46","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:46","Сегодня, 11:37","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:46","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:47","Сегодня, 11:37","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:47","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:47","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:47","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:47","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:48","Ответ продавца","Спасибо, Диана, за ваш отзыв! Мы очень рады, что вам понравился наш ночник звездное небо проектор космонавт. Надеемся, что он принесет вам много уюта и уютной атмосферы. Будем рады видеть вас снова в нашем магазине! ещё",5,0,Нет,""
"2025-11-13 14:00:48","Ответ продавца","Спасибо, Диана, за ваш отзыв! Мы очень рады, что вам понравился наш ночник звездное небо проектор космонавт. Надеемся, что он принесет вам много уюта и уютной атмосферы. Будем рады видеть вас снова в нашем магазине! ещё",5,0,Нет,""
"2025-11-13 14:00:48","Альбина","Выкупили",5,1,Нет,""
"2025-11-13 14:00:48","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:49","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:49","Альбина","Выкупили",5,0,Нет,""
"2025-11-13 14:00:49","Альбина","Выкупили",5,0,Нет,""
"2025-11-13 14:00:49","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:49","Сегодня, 11:29","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:50","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:50","Сегодня, 11:29","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:50","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:50","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:51","Недостатки:Всё хорошо","Достоинства:Ночник очень понравился, выполнен качественно, пришёл хорошо упакован. Взяла на подарок. Недостатки:Всё хорошо Комментарий:Решила взять по такому сёстрам в подарок, они будут рады!",5,2,Да,""
"2025-11-13 14:00:51","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:51","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:51","Ответ продавца","Спасибо за отзыв, Альбина! Мы очень рады, что вам понравился наш ночник детский. Надеемся, что ваши сёстры будут довольны подарком и будут радоваться каждую ночь. Благодарим за покупку и ждем вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:51","Ответ продавца","Спасибо за отзыв, Альбина! Мы очень рады, что вам понравился наш ночник детский. Надеемся, что ваши сёстры будут довольны подарком и будут радоваться каждую ночь. Благодарим за покупку и ждем вас снова! ещё",5,0,Нет,""
"2025-11-13 14:00:52","Анна","Выкупили",5,1,Нет,""
"2025-11-13 14:00:52","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:52","Анонимный покупатель","Текст отзыва недоступен",5,1,Нет,""
"2025-11-13 14:00:52","Анна","Выкупили",5,0,Нет,""
"2025-11-13 14:00:53","Анна","Выкупили",5,0,Нет,""
"2025-11-13 14:00:53","Выкупили","Выкупили",5,0,Нет,""
"2025-11-13 14:00:53","Сегодня, 11:16","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:53","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:54","Сегодня, 11:16","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:54","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:54","Анонимный покупатель","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:54","Плюсы товара","Достоинства:Я давно его хотела приобрести, не жалею что купила , всё работает, рекомендую",5,0,Нет,""
"2025-11-13 14:00:55","Плюсы товара","Текст отзыва недоступен",5,0,Нет,""
"2025-11-13 14:00:55","Ответ продавца","Спасибо за отличный отзыв, Анна! Мы рады, что ночник звездное небо проектор космонавт пришелся вам по вкусу. Надеемся, что этот подарок принесет вам много радости и уюта. Обращайтесь к нам снова! ещё",5,0,Нет,""
